sourceCode;sourceName;sourceFrequency;matchScore;mappingStatus;targetConceptId;targetConceptName;targetVocabularyId;targetDomainId;targetStandardConcept;targetChildCount;targetParentCount;targetConceptClassId;targetConceptCode;targetValidStartDate;targetValidEndDate;targetInvalidReason
66;legal sector;4;0.74;APPROVED;4028691;Lawyer;SNOMED;Observation;S;0;1;Social Context;12877000;20020131;20991231;
2;housekeeper;410;0.88;APPROVED;4050045;Working housekeeper;SNOMED;Observation;S;0;1;Social Context;159723009;20020131;20991231;
85;research;2;1.0;APPROVED;35625940;Researcher;SNOMED;Observation;S;3;1;Social Context;769038007;20180731;20991231;
14;dog;16;1.0;APPROVED;45884490;Dog;LOINC;Meas Value;S;0;0;Answer;LA14178-0;19700101;20991231;
30;religious worker;17;0.78;APPROVED;4024857;Worker in religion;SNOMED;Observation;S;2;2;Social Context;106310008;20020131;20991231;
1;married;9400;1.0;APPROVED;4338692;Married;SNOMED;Observation;S;7;1;Clinical Finding;87915002;20020131;20991231;
14;security services;51;0.78;APPROVED;4202006;Security services occupation;SNOMED;Observation;S;3;1;Social Context;308199006;20020131;20991231;
6;finance professional;136;0.67;APPROVED;4270911;Finance clerk;SNOMED;Observation;S;3;2;Social Context;63804002;20020131;20991231;
1;benign;7822;1.0;APPROVED;45880925;Benign;LOINC;Meas Value;S;0;0;Answer;LA6675-8;19700101;20991231;
86;firefighter;2;1.0;APPROVED;4024315;Fire fighter;SNOMED;Observation;S;5;2;Social Context;106382009;20020131;20991231;
20;industrial worker;41;0.9;APPROVED;4146330;Industrial social worker;SNOMED;Observation;S;0;1;Social Context;307985009;20020131;20991231;
2;single;3405;1.0;APPROVED;4053842;Single person;SNOMED;Observation;S;6;1;Clinical Finding;125681006;20020131;20991231;
44;aviation worker;10;0.7;APPROVED;4147399;Aircrew;SNOMED;Observation;S;1;1;Social Context;308049009;20020131;20991231;
67;reception_front_desk;4;0.41;APPROVED;4266235;Hotel receptionist;SNOMED;Observation;S;0;2;Social Context;61315006;20020131;20991231;
31;entrepreneur;16;0.58;APPROVED;4143813;Top manager - business;SNOMED;Observation;S;5;1;Social Context;265912005;20020131;20991231;
